,title,description,app_id,category
0,"Amazon Shopping - Search, Find, Ship, and Save","Product Features
* Customers are able to shop millions of products on any of Amazon's sites around the world from a single app
*Use Alexa to help you shop—just use your voice to search for products on Amazon, track your orders, and reorder your favorite items. Tap the microphone icon and say “where’s my stuff?” to access open orders. Reorder products by saying “reorder paper towels” or “buy more batteries”.
* Take advantage of 1-Click ordering, customer support, Wish Lists, create or find a baby or wedding registry, order tracking, and more
* Scan product barcodes and images to compare prices and check availability using Scan It
* Check out Gold Box Deals - including the Deal of the Day and Lightning Deals, and get automatically notified when new deals become available
* Send and share links to products via email, SMS, Facebook, Twitter, and more
* Sign-up for automatic shipment notifications to know when your order ships and arrives
* Buy with confidence, knowing that all transactions are securely processed
Product Description
The Amazon Shopping app lets you shop millions of products and manage your Amazon orders from anywhere. Browse, shop by department, compare prices, read reviews, share products with friends, and check the status of your orders.
Compare prices and availability by typing in your search, scanning a barcode or an image with your camera, or using your voice. Never miss a deal with easy access to Lightning Deals and the Deal of the Day. You can also sign-up for shipment notifications to know when your order ships and arrives. You have full access to your Shopping Cart, Wish Lists, payment and Prime shipping options, Subscribe & Save order history, and 1-Click settings, just like on the full Amazon.com site. All Amazon Shopping app purchases are routed through Amazon's secure servers to encrypt and safeguard your personal information.
Important Note Regarding Permissions
Please note that the Amazon Shopping app requires access to the following services to operate properly:
* Contacts: Allows you to send Amazon gift cards to your contacts or invitation to install the Amazon app.
* Camera: Allows the Amazon app to access your camera on the device. You can use your camera to find products by scanning the cover or its barcode, to add gift cards and credit cards, or to add pictures in the product reviews.
* Flashlight: Allows the Amazon app to turn on the flashlight. You can use the flashlight to find products with the camera feature even in low-light or dark conditions.
* Microphone: Allows the Amazon app to access your microphone to use your voice to search and interact with your Assistant.
* Location: Allows the Amazon app to access your location to help you discover local offers and select addresses fast.
* Account: Allows you to share products on Amazon with your friends and families through Facebook or other social networks.
* Phone: Allows the Amazon app to pre-populate the Amazon Customer Service number on your phone’s keypad.
* Storage: Allows the Amazon app to store your preferences so that some features can load and run faster on the device.
* Wi-Fi: This permissions is used when setting up either a Dash Button or Dash Wand using the Amazon Shopping app.
OS Requirements: Requires Android OS 5.0 or higher and a rear-facing camera. The Amazon App for Tablets is available on Google Play. Search for ""Amazon Tablet"" to install the app and begin shopping.",com.amazon.mShop.android.shopping,['SHOPPING']
1,LG ThinQ,"Enjoy a comfortable and smart life at home with LG ThinQ that will allow you to use various LG Electronics home appliances and IoT devices more conveniently.
Major Features
■ Add and manage your household appliances via ThinQ
Easily link and manage at-a-glance many LG home appliances like your TV, refrigerator, styler, washing machine, etc. as well as other IoT devices.
■ Control devices remotely away from home
With the ThinQ app, it’s possible to have a look around the house or run your vacuum cleaner and washing machine wherever you may be.
■ Buy related supplies directly on the app
Use the ThinQ store to purchase LG certified parts & accessories.
■ Be up-to-date with your home appliances using the app’s Smart Diagnosis
Manage status checkups and receive diagnostics of devices at home before problems occur.
※ Available app features may differ by country.
System Requirements
- Supports Android OS 5.0 and higher. Smartphones using Android OS version 4.4 or lower must update their OS in order to use the latest version of the app.
Access Permission
The following access permissions are necessary for LG ThinQ. Optional permissions are not required to use the app but restrictions to certain features may apply.
■ Required Permissions
- Outgoing Calls: To access related app settings such as language and region and contact the customer service centers after smart diagnosing devices.
- Location: To obtain the device SSID and connecting Wi-Fi info when registering devices and search for weather info, current location, etc.
■ Optional Permissions
- Photos, Media & Files: To check the storage capacity of your smartphone for downloading the software of devices to add. Certain devices may also send and save images on your smartphone.
- Contacts: To verify user information when signing in to the app
- Camera: To scan QR codes
- Mic: Needed when using the smart diagnosis feature",com.lgeha.nuts,['LIFESTYLE']
2,SquadRun,"Tasks are arranged in the form of small ‘missions’ which SquadRun trains you to perform. Once you qualify, you get access to hundreds of missions.
Note - The amount of money you earn is totally dependant on the number of successful missions you’re able to complete.
Redeem cash directly into your Paytm account once you’ve earned Rs. 60.
Need help? Send an email to basecamp@squadrun.co. We’ll get back to you within 24hrs :)
Download the SquadRun app now and start doing missions!",com.squad.run,['LIFESTYLE']
3,Spencer's - Online Shopping App in India,"Spencer’s is one of India’s first Omni-channel retailers operating in the
Liquor, Food, Grocery, Apparel, General Merchandise and Household Appliance
segments. Spencer’s offers the widest range and assortment of products in fresh fruits and vegetables, breads, dairy, FMCG, Meat, Fish, Poultry, personal care, organic, specialty food and other regular utility products for your home. Taking a giant leap forward in 2016, Spencer’s now brings all its core offerings to the doorstep of consumers through this app providing
online grocery shopping
convenience with a promise to deliver within 3 hours assuring quality products at best prices.
We list the best assortments of LCD/LED televisions, Power Efficient Air-Conditioners & Refrigerators, affordable Microwave Ovens.
Presence in Major Cities in India
Spencer’s, has multiple store presence in major cities in India. Spencer’s currently deliver to Kolkata, Gurgaon, South Delhi, Dwarka, Noida, Hyderabad, Sikandarabad & Chennai.
Shop From Top Brands
Shop from top Brands like Amul, Haldiram, Tropicana, Kelloggs, Dettol, MTR, Bru , McCain, Ariel , Britannia, Nescafe , Colgate, Horlicks, Galaxy, Complan, Venkys, Yummiez , Dove, Pears & more. Spencer's houses the best branded products across all verticals offered.
Why Shop from Spencer’s
•	Online delivery of all liquor brands
•	Wide Range of Food & Groceries on Display.
•	Shop from Top Quality Brands.
•	Shop Basis Requirements. Products are offered in various quantities & sizes.
•	Fresh products on display only. Expired products are removed immediately.
•	Beyond food & grocery, shop for Electrical Home & Kitchen Appliances from top Brands. These products come with warranty.
•	Free Home Delivery. All items shopped are delivered to your doorstep within 3 hours. Any Damages to Goods/ Products is duly compensated.
How it works:
• Download App & Register
• Login - Select City, Enter Pin code.
• Shop basis category. The Menu offers a whole lot of categories to choose from.
• Check offers for good offers on Categories.
• Add items to cart, complete payment & check out.
• Items will be delivered to your doorsteps within 3 hours.
• Age proof necessary for Liquor Delivery
Now whenever you are unable to visit our Stores, simply choose the required products through this app and let us know of a convenient & flexible delivery slot and be assured of a quick delivery alongside great service experience
Like us on Facebook at https://www.facebook.com/spencersindia/
Follow us on Twitter at https://twitter.com/Spencers_Retail
Follow us on Instagram at https://www.instagram.com/spencersretail/",com.bsl.spencers.activity,['SHOPPING']
4,La Pino'z Order Online Pizza,"La Pino'z Pizza Online Pizza Delivery
Avail BOGO on Wednesday & Friday
Buy 1 Get 2 Pizza Free
Buy 2 Get 1 Pasta Free
2 Giant Pizzas Starting @ Rs.649 Each
2 Regular Pizzas Starting At Rs.109 Each
La Pino’z satisfying your pizza cravings since 2011. Renowned for their delicious, traditional Italian pizzas, La Pino’z soon became the most popular foodie’s joint in the neighbourhood. From then to over 100 restaurants across India today, we have come a long way.
With a growing menu selection, restaurant network & La Pino’z order online pizza delivery app we are continuously serving all flavours to the people on-the-go who are not willing to compromise taste for quality. We are even delivering the best quality pizzas at our customer’s doorstep with our La Pino’z order online pizza delivery app
Today, La Pino'z is about much more than just pizzas. From freshly sautéed pasta & freshly baked garlic bread to mock-tails and, desserts, we have a wide range for you to feast on. All this, combined with the warm, inviting ambience and friendly service of all time, that will lead to endless conversations, laughter and memories that you'll cherish forever. La Pino'z is perfect for a quick snack, a lingering meal, a family night, or a large social gathering. We create Pizzas' we are proud to serve and deliver it fast, with a smile.
With La Pino’z order online pizza delivery app we have put smiles on our customer’s face by delivering hot & fresh pizzas & much more at their doorsteps. We care about customers & thus we have launched several in-app discount offers.
So download the La Pino’z order online pizza delivery app & treat yourself with some fresh & deliciously baked pizzas & much more.
La Pinoz Pizza Locations served across india:
MDC 5	Panchkula
Sector 9 D	Chandigarh
Sector 38	Chandigarh
Indirapuram	Ghaziabad
Sohna Road	Gurgaon
Old Rajinder Nagar	Delhi
Sector-12 Dwarka	Delhi
Pitampura	Delhi
Rajouri Garden	Delhi
Sector 20	Panchkula
Sector 34	Chandigarh
Koramangala	Bangalore
Sector 67	Mohali
Phase 7	Mohali
Sunny Enclave	Kharar
Main Golf Course Road,Sector 53	Gurgaon
Sarabha Nagar	Ludhiana
Vastrapur	Ahmedabad
Bodakdev	Ahmedabad
Gujarat College	Ahmedabad
Science City Road	Ahmedabad
South Bopal	Ahmedabad
Chandkheda	Ahmedabad
Naranpura	Ahmedabad
Shahibaug	Ahmedabad
Vesu	Surat
Pal Adajan	Surat
Nana Varachha	Surat
150 Ft Ring Road	Rajkot
Race Course Road Vadodara
Borivali	Mumbai
AV Road	Anand
Nikol	Ahmedabad
Bapunagar	Ahmedabad
Gomtinagar	Lucknow
Radhanpur Road	Mehsana
C- Scheme	Jaipur
Mansarovar	Jaipur
Vile Parle	Mumbai
Virani  Chowk	Rajkot
Sector 15	Faridabad
Kudasan	Gandhinagar
Hazratganj	Lucknow
New Leela Bhawan	Patiala
Sanala Road	Morbi
Sector 27	Chandigarh
Kutch	Gandhidham
Waghawadi Road	Bhavnagar
Althan	Surat
Sion	Mumbai
Vaishali Nagar	Jaipur
Dhanvantri Ground	Jamnagar
Nanpura	Surat
Electronic city phase - 1	Bangalore
Prahlad Nagar	Ahmedabad
Airoli	Mumbai
sayajigunj	Vadodara
La Pino'z 	Vastral	Ahmedabad
New Ring Road	Rajkot
Laxmi Nagar	Delhi
Ashok Nagar	Udaipur
Uttarsanda Road	Nadiad
Civil Lines	Budaun
Rampur Garden	Bareilly
Sector 104	Noida
Zanzarda Road	Junagadh
Kutch	Bhuj
Manjalpur	Vadodara
Sector 135	Noida
Sector 83	Gurgaon
Aliganj	Lucknow
Karelibaug	Vadodara
Karkardooma	Delhi
Bendoorwell	Mangalore
Waghodiya Road	Vadodara
Abu Road Highway	Palanpur
Napier Town	Jabalpur
BTM 2nd Stage	Bangalore
Sector 9 Rohini	Delhi
Sector 12	Karnal
Wakad	Pune
Surdhara Circle	Ahmedabad
Katargam	Surat
Sector 5 - Salt Lake	Kolkata
Patliputra Colony	Patna
Shastri Nagar	Meerut
Naroda	Ahmedabad
Kamla Nagar	Delhi
Paschim Vihar	Delhi
Ashok Vihar	Delhi
Raiya Circle	Rajkot
Civil Lines	Prayagraj
Vandematram Road, Gota	Ahmedabad
Upasna Circle	Surendranagar
Sector 32	Chandigarh
Vasant Kunj	Delhi
New Jawahar Nagar	Kota
Geeta Bhawan Square	Indore
Sector 11	Gandhinagar
Model Town	Panipat
Landran Road	Kharar
Jamalpore	Navsari",com.app.uengage.lapinoz,['FOOD_AND_DRINK']
5,Farmizen,"Farmizen is a fun, social and enjoyable way to get clean, healthy, chemical-free fresh fruits and vegetables for your family. Farmizen connects thousands of families such as yours, directly to natural farmers, and lets you:
1. Get farm-fresh organic vegetables delivered to your community with Farmizen Tribes. Join an existing tribe or become a tribe leader in your community.
2. Form teams with your friends and buy organic/natural fruits and farm made products directly from farmers around the country.
3. Rent out your own mini-farm and grow your own vegetables with help from farmers. Come to the farm and harvest your own produce, or have it home delivered.
* Voted a Top 50 hot brand in Bangalore in 2018-19.
* Covered by BBC, CNBC Awaaz, Bloomberg Quint, Economic Times, Financial Express & 22 other publications.
* Operational in Bangalore and Hyderabad.",com.farmizen.farmizen,['FOOD_AND_DRINK']
6,"Lenskart: Eyeglasses, Sunglasses, Contact Lens App","Lenskart is online and delivering essential eyewear, computer eyeglasses across India within during unlock
Lenskart is the No 1 online eyewear website in India. Lenskart caters to every customer with crazy deals and offers, and with the widest range of spectacles / eyeglasses for men, women & kids at Rs. 999 with BLU Lens -which protects your from harmful smartphone rays!
Lenskart has over 10,000 collection to shop for Spectacles, Sunglasses, Eyeglasses, Contact Lenses, Computer Glasses, Chashma, Goggles, Reading Glasses, Specs, Try glasses at home, Prescription Sunglasses & Eyewear Accessories.
Latest Exciting Deals & Offers on Spectacles, Eyewear, Frames, Sunglasses & Contact Lens:
- Online exclusive collection starting at Rs. 999 with BLU lens for new customers
- John Jacobs online exclusive at Rs. 2500 anti glare lens and Rs. 3000 blu lens
- Sale collection offer - 2 Vincent Chase glasses for with BLU lens and 2 John Jacobs glasses at 3000 with BLU lens
- Upto 20% off on Designer Brands (Ray-Ban, Carrera, Vogue, Oakley & more)
- Upto 10% off on Contact Lenses with Free Lens Solution Offer
- Explore the whole new range of Computer Eyeglasses (with Anti Glare & UV Protection Lenses) from Rs. 999 only
- Rupees 50/- LKCash application with minimum cart value of Rs 1499 for Eyeglasses & Sunglasses and Rupees 50/-  LKCash off on 2+ Boxes and Rupees 50/-  LKCash off on 4+ Boxes for Contact Lenses
- Install Lenskart app now and get Rs. 50/- LK cash instantly. LK Cash will be applicable on the highest of the two on the total value.
Seamless Return Policy: Didn’t like the product? No worries return within 14 days without any questions and get your money back even during the lockdown
Lenses made by Robots: Created with robotic technology, fully sanitised and hygienic lenses
Perks of Shopping at Lenskart: If you are first time customer, then get a pair with Blue lenses at just Rs. 999+ Taxes (No Extra Charges)
Ergonomic Design: Offers lightest, most flexible, and durable glasses
Lenskart Airflex Frames: Introducing Lenskart airflex which weighs just 11 grams and can be bent upto 360 degree
Blu Lenses: Protect your eyes from harmful smartphone rays with the Lenskart Blu lenses. It blocks 95% of harmful rays, relieves strain and helps in clear vision too. Pick your choice of frame and go for Blu lens that fits into all frame styles and sizes.
3D Try On: It’s as good as trying on different eyeglasses and sunglasses and checking in mirror. With Lenskart’s advanced virtual mirror, you don’t just get to try on eyewear real time; you can also get playful with the infinite range. Click & upload your image on the virtual mirror directly from your mobile camera; try on spectacles, eyeglasses & sunglasses online; share them on Facebook or twitter
Can't go out of home during Lockdown? This 3D Try on will be super helpful!
Features:
• Infinite Eyewear: Access the abundant collection of spectacles, eyewear, frames, sunglasses and more by premium brands such as Ray-Ban, Oakley, Vogue, Vincent Chase, John Jacobs, Chhota Bheem, among many others.
• Suit Your Style: Browse through the bestsellers, new arrivals and the recommended pairs of eyeglasses & sunglasses as per your face shape and personal style.
• Find Frame Size: At lenskart, you can know your frame size and get the best styles using frame size feature
• Latest Collection: Don’t forget to go through the ‘Latest Collection’ section to know about new offers, styles
• Book Eye Check-Up at Home: An expert optician will visit you at your convenient hour and test your eyes at your home/office.
• Shop from a range of 100% authentic brands
• Order online & pay CASH ON DELIVERY
• Scan product barcodes with the camera
• Live chat with the customer support team
Download now & explore it for yourself!
Join the Lenskart Tribe:
Facebook: https://www.facebook.com/lenskart
Twitter: https://twitter.com/Lenskart_com
YouTube: https://www.youtube.com/user/lenskart1
Made in India!",com.lenskart.app,['SHOPPING']
7,Isthara Co-Living,"Isthara Co-Living is the one stop platform for Isthara residents. Residents will be able to raise helpdesk tickets which will be resolved by the concerned resources with a timeline.
Residents can view and pay their invoices from ease of anywhere. All major cards, internet banking and wallets are supported.
The residents can also view and participate in the community events happening in their properties / cities.",com.tao.isthara,['HOUSE_AND_HOME']
8,BevQ,BevQ is a virtual queue application and token generator service provided by Kerala state beverages corporation ltd. In order to maintain the social distancing especially in this COVID-19 scenario this app can be used by the client to book a queue number and an e-token for assuring his place in the queue in a specified time slot. Kerala BEVCO is the owner and manager of the BevQ App.,com.ksbcvirtualq,['FOOD_AND_DRINK']
9,"Quick Ride - Carpooling, RideSharing, Bike Pooling","Quick Ride is India’s largest carpooling/bike pooling community with over 3 million users. Over 30 million carpool/bike pool rides have been done, and Quick Ride has prevented over 75,000 tonnes of carbon footprints. Currently, Quick Ride operates in major Indian cities such as Delhi-NCR, Mumbai, Bangalore, Pune, Kolkata, Chennai, Hyderabad, Kochi and Trivandrum.
What is carpooling?
Carpooling or ride-sharing is nothing but sharing empty seats in your car with other commuters who are travelling on the same route. Carpooling can be done with your friends, colleagues or anybody whom you meet through ride-sharing apps such as Quick Ride. Car sharing is a very simple concept that reduces the overall cost of commuting and also helps to reduce traffic congestion and carbon emissions.
Quick Ride is the best carpooling app in India, and it has played a pivotal role in Delhi-NCR during the Delhi odd-even rule. Sharing rides has also helped to control the level of vehicular pollution in the national capital.
Benefits of carpooling/bike pooling
Ride-sharing saves your travel expenses as you share the fuel costs with your co-riders.
Carpool/bike pool brings down the number of vehicles on the road and in turn reduces traffic congestion.
By sharing rides we can also reduce the carbon emissions.
Carpool makes commuting fun as you travel with like-minded people.
Ride-sharing helps to expand your professional network as you always travel with verified professionals.
Save money while you drive by offering rides with the Quick Ride app.
Ride-sharing saves you a lot of time compared to public transport.
Features of Quick Ride app
Find carpool rides as per your requirement with the intelligent route matching algorithm.
Affordable ride-sharing app in India with rides starting at just Rs 3/km.
Safe and secure rideshare experience with verified professionals.
Easily modify your route with the Route Customization feature.
Instant ride confirmation for ride giver and ride taker with Auto Confirmation feature.
Trip Insurance for ride takers which insures your each ride.
Live tracking with accurate ETA for seamless commutes.
Create carpool groups from the same community, residential society, tech parks, etc.
Group chat with co-riders to coordinate pick up and drop points.
Co-riders can manage the ride through Ride Moderation feature and assist the ride giver.
Negotiate fare with ride giver, if the fare is higher than the base fare.
Ride givers can set fare between 0-6 points (1 point = 1 Rs) as per the route and vehicle.
Enterprise-level security features for a safe carpool/bike pool ride.
Find gender-specific matches.
Cashless payment system.
Redeem earned fuel points for fuel or through other popular redemption partners.
Intercity Carpool
You can also carpool when you travel out of the city. Intercity carpooling will reduce your travel expenses by a great extent. You can also share your ride when you are travelling to an outstation, and it will make your journey interesting and economical. Outstation carpool will reduce traffic on the highways and prevent carbon emissions.
Carpool an alternative to Taxi/Cab
Carpooling/ride-sharing/bike pooling is the best alternative for taxis. Car-sharing will make office commuting easy and convenient. Moreover, bike sharing is affordable compared to bike taxis and bike rentals.
Download the Quick Ride app and get your first ride free or earn free reward points!
Let’s socialise!  Follow us on:
Facebook- https://www.facebook.com/QuickRidein/
Twitter- https://twitter.com/quickridein/
LinkedIn- https://in.linkedin.com/company/quickridein/
Instagram- https://www.instagram.com/quickridein/
YouTube- https://www.youtube.com/channel/UCz3-h4pEz1459SqN6dfTWGw?view_as=subscriber",com.disha.quickride,['TRAVEL_AND_LOCAL']
